,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,name,ceiling,max_mach,delta_time,H2_mass
1980,23013.39582069534,111.98206249655976,3047.999999999999,453008.92270754924,170.6332882942259,3748.6787984762664,0.0,3,0.3410050258482609,96.23158592508322,0.664168715733406,0.03967812180559972,13482.61315543914,1.0,0.0,1.0,False,8.774130786325993e-08,17536.55566169467,2142859.6922941436,2142859.6922941436,1078.906021995034,2142859.6922941436,0.5172416763908113,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17615577196173401,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1981,23013.358217232944,112.01729365095211,3047.999999999999,453031.31912004855,170.67089172789235,3748.878798476266,0.0,3,0.3411123108941547,96.26186175485061,0.6637499144104468,0.039661992208120625,13485.613853533145,1.0,0.0,1.0,False,8.773999530203367e-08,17531.688967332513,2142890.111689925,2142890.111689925,1078.5582149656007,2142890.111689925,0.5172452210700369,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17581419780662746,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1982,23013.32061379928,112.05245649051344,3047.999999999999,453053.72257877875,170.7084951330578,3749.078798476266,0.0,3,0.3412193879094033,96.29207887838966,0.6633323172258415,0.03964591968209073,13488.61329016403,1.0,0.0,1.0,False,8.77386855534962e-08,17526.83409162917,2142920.4761992246,2142920.4761992246,1078.2110519640812,2142920.4761992246,0.5172487593015956,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17547319090682365,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1983,23013.283010394112,112.0875511286948,3047.999999999999,453076.1330700769,170.74609850994753,3749.278798476266,0.0,3,0.34132625723948495,96.32223739319433,0.6629159200536099,0.03962990397647799,13491.61144501791,1.0,0.0,1.0,False,8.773737861203002e-08,17521.991003357416,2142950.785892599,2142950.785892599,1077.8645320428213,2142950.785892599,0.5172522910939914,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.175132750790887,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1984,23013.245407017224,112.12257767885298,3047.999999999999,453098.5505803026,170.78370185878578,3749.4787984762656,0.0,3,0.341432919229591,96.35233739667756,0.6625007187848724,0.039613944841593515,13494.608297928182,1.0,0.0,1.0,False,8.773607447202492e-08,17517.159671381563,2142981.0408406616,2142981.0408406616,1077.5186542543793,2142981.0408406616,0.5172558164557336,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1747928769849567,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1985,23013.207803668385,112.15753625424996,3047.999999999999,453120.97509583837,170.82130517979567,3749.6787984762655,0.0,3,0.3415393742246241,96.38237898617085,0.6620867093277666,0.03959804202908316,13497.603828874695,1.0,0.0,1.0,False,8.77347731278794e-08,17512.34006465724,2143011.2411140865,2143011.2411140865,1077.1734176515345,2143011.2411140865,0.517259335395338,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17445356901277287,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1986,23013.170200347377,112.19242696805252,3047.999999999999,453143.40660308924,170.8589084731993,3749.8787984762653,0.0,3,0.3416456225691969,96.41236225892385,0.6616738876073635,0.03958219529191916,13500.598017982984,1.0,0.0,1.0,False,8.773347457399979e-08,17507.532152231106,2143041.3867836026,2143041.3867836026,1076.8288212873,2143041.3867836026,0.5172628479213252,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17411482639569748,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1987,23013.132597053973,112.22724993333165,3047.999999999999,453165.84508848283,170.89651173921774,3750.078798476265,0.0,3,0.3417516646076304,96.44228731210393,0.6612622495655851,0.039566404384391865,13503.590845523453,1.0,0.0,1.0,False,8.773217880480045e-08,17502.73590324054,2143071.477919996,2143071.477919996,1076.4848642149225,2143071.477919996,0.5172663540422219,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17377664865273657,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1988,23013.094993787956,112.26200526306219,3047.999999999999,453188.2905384695,170.93411497807094,3750.278798476265,0.0,3,0.3418575006839528,96.47215424279582,0.6608517911611212,0.03955066906210145,13506.582291910596,1.0,0.0,1.0,False,8.773088581470427e-08,17497.951286913358,2143101.5145941074,2143101.5145941074,1076.141545487895,2143101.5145941074,0.5172698537665601,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1734390353005614,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1989,23013.057390549104,112.2966930701223,3047.999999999999,453210.74293952214,170.97171818997782,3750.4787984762647,0.0,3,0.34196313114189797,96.50196314800115,0.6604425083693481,0.03953498908194978,13509.572337702204,1.0,0.0,1.0,False,8.772959559814143e-08,17493.178272567533,2143131.4968768307,2143131.4968768307,1075.7988641599616,2143131.4968768307,0.5172733471028769,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17310198585353104,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
