,TP_total_temperature,TP_total_pressure
3190,"[52017.389969138334, 52017.389969138334, 465.8764073604091, 648.0858965592113, 1403.9021672647552, 1239.566797946796, 1050.5972349202225, 807.0597708894848, 807.0597708894848]","[52017.389969138334, 52017.389969138334, 306996.5247862469, 810246.766745612, 753529.4930734192, 415317.0237216124, 188209.61288646434, 54833.61163277642, 54833.61163277642]"
3191,"[52022.43858421037, 52022.43858421037, 465.88352090911184, 648.0930105295166, 1403.902170513152, 1239.5667727531375, 1050.597177003827, 807.0539642382046, 807.0539642382046]","[52022.43858421037, 52022.43858421037, 307014.93996892375, 810285.1442199325, 753565.1841245373, 415336.65028921794, 188218.4757315601, 54834.36289814777, 54834.36289814777]"
3192,"[52027.48172370194, 52027.48172370194, 465.8906262500587, 648.1001162912992, 1403.9021737556407, 1239.5667475866126, 1050.5971191525914, 807.0481646437231, 807.0481646437231]","[52027.48172370194, 52027.48172370194, 307033.3346704069, 810323.4786079818, 753600.8351054231, 415356.2548192418, 188227.3286230548, 54835.1133655675, 54835.1133655675]"
3193,"[52032.51938527006, 52032.51938527006, 465.89772338366157, 648.1072138467362, 1403.9021770058218, 1239.5667224593446, 1050.597061376868, 807.0423721118332, 807.0423721118332]","[52032.51938527006, 52032.51938527006, 307051.70888785267, 810361.7699109913, 753636.446017222, 415375.83731251326, 188236.1715614005, 54835.86303491663, 54835.86303491663]"
3194,"[52037.55156661169, 52037.55156661169, 465.90481230721775, 648.1143031921316, 1403.9021802560424, 1239.5666973645216, 1050.5970036708525, 807.036586639397, 807.036586639397]","[52037.55156661169, 52037.55156661169, 307070.0626123477, 810400.0181085083, 753672.0168409128, 415395.39775847574, 188245.0045417971, 54836.6119056519, 54836.6119056519]"
3195,"[52042.578265463286, 52042.578265463286, 465.9118930194737, 648.1213843264529, 1403.9021835080043, 1239.5666723036659, 1050.5969460358517, 807.0308082271457, 807.0308082271457]","[52042.578265463286, 52042.578265463286, 307088.3958378567, 810438.2231900531, 753707.5475667495, 415414.93615180306, 188253.82756185508, 54837.3599774252, 54837.3599774252]"
3196,"[52047.59947960086, 52047.59947960086, 465.9189655137842, 648.1284572385355, 1403.9021867268882, 1239.5666472457617, 1050.5968884454078, 807.0250368604964, 807.0250368604964]","[52047.59947960086, 52047.59947960086, 307106.7085478071, 810476.3851076615, 753743.0381501252, 415434.4524674881, 188262.6406101061, 54838.10724915466, 54838.10724915466]"
3197,"[52052.61520683974, 52052.61520683974, 465.9260297955899, 648.1355219397732, 1403.9021899585616, 1239.566622231679, 1050.5968309344016, 807.0192725585594, 807.0192725585594]","[52052.61520683974, 52052.61520683974, 307125.00074936316, 810514.5038971319, 753778.4886243327, 415453.94672449026, 188271.44369535876, 54838.85372139834, 54838.85372139834]"
3198,"[52057.625445034406, 52057.625445034406, 465.9330858637979, 648.1425784292925, 1403.9021932047144, 1239.5665972629292, 1050.59677350413, 807.0135153219304, 807.0135153219304]","[52057.625445034406, 52057.625445034406, 307143.27243691287, 810552.579548859, 753813.898980439, 415473.4189179321, 188280.2368154266, 54839.59939382556, 54839.59939382556]"
3199,"[52062.63019207837, 52062.63019207837, 465.94013371078705, 648.1496266939638, 1403.902196422905, 1239.5665723017046, 1050.5967161223384, 807.0077651327118, 807.0077651327118]","[52062.63019207837, 52062.63019207837, 307161.5235920779, 810590.6120078702, 753849.2691673193, 415492.8690191133, 188289.01995713307, 54840.344265217194, 54840.344265217194]"
3200,"[52067.629445904066, 52067.629445904066, 465.94717333911694, 648.1566667396523, 1403.9021996386032, 1239.566547370702, 1050.5966588084004, 807.0020220013574, 807.0020220013574]","[52067.629445904066, 52067.629445904066, 307179.754216481, 810628.6012897426, 753884.5991994607, 415512.29703636817, 188297.7931243822, 54841.08833573577, 54841.08833573577]"
3201,"[52072.62320448248, 52072.62320448248, 465.9542047483613, 648.1636985665926, 1403.9022028569002, 1239.566522474462, 1050.5966015661966, 806.9962859297585, 806.9962859297585]","[52072.62320448248, 52072.62320448248, 307197.96430592507, 810666.547389261, 753919.8890720127, 415531.70296711003, 188306.55631603935, 54841.83160513665, 54841.83160513665]"
3202,"[52077.611465823335, 52077.611465823335, 465.96122793713437, 648.1707221731789, 1403.9022060761004, 1239.5664976114786, 1050.5965443944476, 806.9905569169264, 806.9905569169264]","[52077.611465823335, 52077.611465823335, 307216.15385436756, 810704.4502944772, 753955.1387738638, 415551.0868052145, 188315.309529337, 54842.574073043426, 54842.574073043426]"
3203,"[52082.59422797468, 52082.59422797468, 465.9682429029644, 648.177737555728, 1403.9022092868715, 1239.5664727734415, 1050.5964872860682, 806.9848349586377, 806.9848349586377]","[52082.59422797468, 52082.59422797468, 307234.3228536704, 810742.3099858292, 753990.3482868212, 415570.4485405565, 188324.0527596605, 54843.31573893066, 54843.31573893066]"
