,TP_total_temperature,TP_total_pressure
526,"[101526.83335823932, 101526.83335823932, 500.2905733529107, 684.777926909347, 1421.4528377730762, 1255.0767142848488, 1065.6410127696367, 857.6134611448992, 857.6134611448992]","[101526.83335823932, 101526.83335823932, 523199.40570200817, 1316648.6407778275, 1224483.2359233797, 674924.1052851367, 308476.6917227672, 111723.33456837984, 111723.33456837984]"
527,"[101527.54615203662, 101527.54615203662, 500.2907878238997, 684.7778247025519, 1421.4503978088935, 1255.0745381511424, 1065.639149644492, 857.6118939502488, 857.6118939502488]","[101527.54615203662, 101527.54615203662, 523200.6239568569, 1316649.4693465468, 1224484.0064922886, 674924.4740243691, 308476.83885878336, 111723.34656734248, 111723.34656734248]"
528,"[101528.25999311905, 101528.25999311905, 500.29100260891715, 684.7777223460845, 1421.4479542719525, 1255.0723588310314, 1065.6372837913127, 857.610324461513, 857.610324461513]","[101528.25999311905, 101528.25999311905, 523201.84399694623, 1316650.2991260353, 1224484.778187213, 674924.8433020964, 308476.986209558, 111723.35858384523, 111723.35858384523]"
529,"[101528.97488039562, 101528.97488039562, 500.29121770808484, 684.7776198409541, 1421.4455071690898, 1255.07017633061, 1065.6354152153126, 857.6087526824062, 857.6087526824062]","[101528.97488039562, 101528.97488039562, 523203.06582180614, 1316651.1301198471, 1224485.5510114578, 674925.2131202877, 308477.1337760449, 111723.37061793946, 111723.37061793946]"
530,"[101529.69081277569, 101529.69081277569, 500.2914331214957, 684.7775171881153, 1421.4430565069483, 1255.067990655801, 1065.63354392156, 857.6071786165618, 857.6071786165618]","[101529.69081277569, 101529.69081277569, 523204.2894308763, 1316651.9623312245, 1224486.3249680388, 674925.5834807523, 308477.2815591252, 111723.38266967224, 111723.38266967224]"
531,"[101530.40778916936, 101530.40778916936, 500.29164884751685, 684.7774143852956, 1421.4406022805954, 1255.065801802213, 1065.6316699063054, 857.6056022627571, 857.6056022627571]","[101530.40778916936, 101530.40778916936, 523205.5148182293, 1316652.7957450096, 1224487.1000428589, 674925.9543756259, 308477.4295551756, 111723.3947388239, 111723.3947388239]"
532,"[101531.12580848686, 101531.12580848686, 500.29186488720364, 684.7773114352489, 1421.4381445031208, 1255.0636097815118, 1065.629793179526, 857.6040236273292, 857.6040236273292]","[101531.12580848686, 101531.12580848686, 523206.7419862993, 1316653.6303747061, 1224487.8762484768, 674926.325812108, 308477.57776758546, 111723.40682559025, 111723.40682559025]"
533,"[101531.84486963903, 101531.84486963903, 500.29208123915015, 684.7772083361261, 1421.4356831711098, 1255.0614145906588, 1065.6279137386284, 857.6024427096914, 857.6024427096914]","[101531.84486963903, 101531.84486963903, 523207.97092986514, 1316654.4662075737, 1224488.6535730436, 674926.697783606, 308477.7261933235, 111723.41892978665, 111723.41892978665]"
534,"[101532.5649715372, 101532.5649715372, 500.2922979040437, 684.7771050899926, 1421.433218295179, 1255.0592162391167, 1065.6260315917068, 857.6008595151425, 857.6008595151425]","[101532.5649715372, 101532.5649715372, 523209.20165021764, 1316655.30325319, 1224489.4320254666, 674927.0702952561, 308477.87483481906, 111723.43105155187, 111723.43105155187]"
535,"[101533.28611309292, 101533.28611309292, 500.2925148805638, 684.7770016951581, 1421.4307498724816, 1255.057014724353, 1065.6241467366012, 857.5992740433343, 857.5992740433343]","[101533.28611309292, 101533.28611309292, 523210.43414240103, 1316656.1414997217, 1224490.2115947413, 674927.4433409427, 308478.0236892632, 111723.44319071471, 111723.44319071471]"
