,mass,equivalent_airspeed,altitude,ground_distance,engine_setting,true_airspeed,mach,CL,CD,drag,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,slope_angle,acceleration,time,name,RC,climb_gradient,slope_angle_penalty,RC_penalty,altitude_penalty
1719,23050.046397657738,63.950472723733064,5813.227781909762,263449.6533004189,9,86.24766215741579,0.2719034895166677,1.5063201294882023,0.09704426846594333,14562.806881556402,1.0,False,7.680222924585101e-08,16603.28521887988,1692441.7499396412,1.0000095030545246,1692425.6667262514,0.3274391616723418,1197.5797919840218,5.186979227163739,0.4035293918135621,0.009026918240869266,0.0,3438.0,OEI_ceiling,0.7785505947611064,0.009026918240869264,-0.0019730791987003313,-0.17017346813933085,2914.9224628812076
1720,23049.78643105921,63.950472723733064,5814.784861952573,263622.1415968689,9,86.25508185153122,0.27193237728623676,1.5063031406755292,0.09704273824879286,14562.577251747229,1.0,False,7.680022536860703e-08,16600.636195341503,1692277.9534432313,1.0000096107117267,1692261.6896039664,0.3274501539524636,1197.487210874326,5.186293299379575,0.4035344308199533,0.009016316719478817,0.0,3440.0,OEI_ceiling,0.7777031366379747,0.00901631671947882,-0.001983680678596511,-0.17110253929964303,2914.582115944929
1721,23049.52649640279,63.950472723733064,5816.340247151744,263794.6447486017,9,86.2624944062584,0.27196123784242404,1.506286153950273,0.09704120823732362,14562.347652803304,1.0,False,7.679822375611521e-08,16597.99035812254,1692114.3446763977,1.0000097184476457,1692097.9001115442,0.3274611349996886,1197.3947422968922,5.185608192058229,0.40353946431252147,0.009005728906267258,0.0,3442.0,OEI_ceiling,0.7768566394011589,0.00900572890626726,-0.0019942684499224283,-0.17203057100601107,2914.2399108663294
1722,23049.26659365066,63.950472723733064,5817.89393942879,263967.16274130123,9,86.26989982785183,0.2719900712078597,1.5062691693099604,0.09703967843130627,14562.11808469023,1.0,False,7.679622440521744e-08,16595.347702997566,1691950.9234360205,1.000009826276767,1691934.2980213368,0.3274721048273223,1197.3023861304523,5.184923904139083,0.4035444922988415,0.00899515478321574,0.0,3444.0,OEI_ceiling,0.7760111020840442,0.008995154783215747,-0.002004842530696206,-0.17295756429377865,2913.8958497243175
1723,23049.00672276506,63.950472723733064,5819.445940703296,264139.695560664,9,86.27729812256352,0.27201887740516834,1.506252186752126,0.09703814883051227,14561.888547373688,1.0,False,7.679422731331583e-08,16592.708225746905,1691787.6894541301,1.0000099341750939,1691770.8831059588,0.3274830634460585,1197.2101421960826,5.184240434480032,0.40354951478647555,0.00898459433232948,0.0,3446.0,OEI_ceiling,0.7751665237206852,0.008984594332329482,-0.0020154029389119425,-0.17388352019759634,2913.54993459573
1724,23048.74688370828,63.950472723733064,5820.996252892916,264312.2431923992,9,86.28468929664346,0.27204765645697015,1.5062352062743034,0.097036619434713,14561.659040819392,1.0,False,7.679223247718114e-08,16590.07192215652,1691624.6425373734,1.0000100421625817,1691607.6551382758,0.3274940108695483,1197.1180103810868,5.183557782035263,0.40355453178297307,0.008974047535637483,0.0,3448.0,OEI_ceiling,0.7743229033457892,0.008974047535637478,-0.0020259496925399364,-0.17480843975143875,2913.2021675553347
1725,23048.487076442652,63.950472723733064,5822.544877913373,264484.8056222286,9,86.29207335633927,0.2720764083858802,1.5062182278740324,0.09703509024368039,14561.4295649931,1.0,False,7.679023989401148e-08,16587.438788018244,1691461.7824431218,1.0000101502298975,1691444.613891432,0.3275049471094524,1197.0259905289497,5.182875945697324,0.4035595432958753,0.00896351437519351,0.0,3450.0,OEI_ceiling,0.7734802399948,0.008963514375193507,-0.0020364828095257403,-0.1757323239885191,2912.852550675832
1726,23048.22730093056,63.950472723733064,5824.091817678462,264657.38283588644,9,86.29945030789635,0.2721051332145085,1.506201251548855,0.09703356125718654,14561.20011986062,1.0,False,7.678824956113886e-08,16584.80881912954,1691299.108913734,1.0000102583586823,1691281.759138816,0.3275158721768114,1196.9340824697579,5.182194924340774,0.40356454933271,0.008952994833074998,0.0,3452.0,OEI_ceiling,0.7726385327038086,0.00895299483307499,-0.002047002307791273,-0.1766551739413821,2912.501086027855
1727,23047.967557134445,63.950472723733064,5825.637074100051,264829.97481911967,9,86.30682015755772,0.27213383096545973,1.5061842772963148,0.0970320324750038,14560.970705387796,1.0,False,7.678626147503249e-08,16582.18201129371,1691136.6217933716,1.000010366590603,1691119.0906540977,0.32752678608670666,1196.8422861239826,5.181514716971152,0.40356954990099564,0.008942488891384067,0.0,3454.0,OEI_ceiling,0.7717977805096424,0.008942488891384062,-0.002057508205233749,-0.1775769906418085,2912.1477756799723
1728,23047.707845016783,63.950472723733064,5827.180649088084,265002.5815576877,9,86.31418291156422,0.27216250166133377,1.5061673051139626,0.09703050389690512,14560.74132154054,1.0,False,7.678427563300696e-08,16579.55836031967,1690974.320827871,1.0000104749090504,1690956.608211192,0.3275376888502738,1196.7506013246964,5.180835322469783,0.4035745450082381,0.008931996532246349,0.0,3456.0,OEI_ceiling,0.7709579824497687,0.008931996532246356,-0.002068000519726901,-0.17849777512091758,2911.7926216986884
