,TP_total_temperature,TP_total_pressure
3482,"[51873.51913260825, 51873.51913260825, 465.673484347185, 647.8829615312308, 1403.9020746925037, 1239.5675167061838, 1050.5988871205202, 807.2255640137231, 807.2255640137231]","[51873.51913260825, 51873.51913260825, 306471.53154135693, 809152.5045644515, 752511.82924494, 414757.4075048189, 187956.9039853266, 54812.20982949045, 54812.20982949045]"
3483,"[51877.95764686883, 51877.95764686883, 465.67975066822095, 647.8892282238307, 1403.9020775553606, 1239.567494514549, 1050.5988361035518, 807.2204399146675, 807.2204399146675]","[51877.95764686883, 51877.95764686883, 306487.734139672, 809186.2811267016, 752543.2414478326, 414774.6811989926, 187964.70438452036, 54812.869886738146, 54812.869886738146]"
3484,"[51882.39201408635, 51882.39201408635, 465.6860107499744, 647.8954886749832, 1403.9020804015347, 1239.5674723326708, 1050.5987851268305, 807.215321187516, 807.215321187516]","[51882.39201408635, 51882.39201408635, 306503.92120103916, 809220.0249819229, 752574.6232331884, 414791.9381640274, 187972.49722760433, 54813.529339848814, 54813.529339848814]"
3485,"[51886.82223167385, 51886.82223167385, 465.69226459170784, 647.9017428855047, 1403.902083243003, 1239.5674501712303, 1050.5987341994844, 807.2102078385273, 807.2102078385273]","[51886.82223167385, 51886.82223167385, 306520.0927206672, 809253.7361261343, 752605.974597305, 414809.1783980617, 187980.28251380596, 54814.18818864972, 54814.18818864972]"
3486,"[51891.2482970739, 51891.2482970739, 465.69851219272516, 647.9079908562533, 1403.9020860917378, 1239.567428040903, 1050.5986833306345, 807.2050998739239, 807.2050998739239]","[51891.2482970739, 51891.2482970739, 306536.248693872, 809287.4145555751, 752637.2955366849, 414826.40189934557, 187988.06024240147, 54814.8464329724, 54814.8464329724]"
3487,"[51895.6702077572, 51895.6702077572, 465.704753548162, 647.9142325802574, 1403.9020889315032, 1239.5674059272337, 1050.5986325079593, 807.1999972881081, 807.1999972881081]","[51895.6702077572, 51895.6702077572, 306552.3891078338, 809321.0602375496, 752668.5860209211, 414843.6086509376, 187995.83040566032, 54815.50407208305, 54815.50407208305]"
3488,"[51900.08796122232, 51900.08796122232, 465.7109886561252, 647.920468056068, 1403.9020917657233, 1239.567383833283, 1050.5985817340825, 807.194900083667, 807.194900083667]","[51900.08796122232, 51900.08796122232, 306568.5139555753, 809354.673159887, 752699.846038695, 414860.79864666826, 188003.59300081874, 54816.16110564896, 54816.16110564896]"
3489,"[51904.50155499587, 51904.50155499587, 465.71721751718076, 647.9266972868019, 1403.902094614051, 1239.5673617765692, 1050.5985310239648, 807.1898082699387, 807.1898082699387]","[51904.50155499587, 51904.50155499587, 306584.6232349611, 809388.2533273996, 752731.0755944817, 414877.9718892802, 188011.3480292232, 54816.81753366915, 54816.81753366915]"
3490,"[51908.910986632116, 51908.910986632116, 465.72344012403425, 647.9329202608411, 1403.9020974431726, 1239.5673397274215, 1050.5984803523002, 807.1847218340928, 807.1847218340928]","[51908.910986632116, 51908.910986632116, 306600.7169284871, 809421.8006903747, 752762.2746420485, 414895.1283528899, 188019.09547901506, 54817.47335507726, 54817.47335507726]"
3491,"[51913.316253713136, 51913.316253713136, 465.72965647771144, 647.9391369820947, 1403.9021002753052, 1239.5673177056428, 1050.5984297359978, 807.1796407864771, 807.1796407864771]","[51913.316253713136, 51913.316253713136, 306616.7950349682, 809455.3152566933, 752793.4431887248, 414912.2680418451, 188026.8353522785, 54818.12856993238, 54818.12856993238]"
3492,"[51917.71735384861, 51917.71735384861, 465.7358665771087, 647.9453474504561, 1403.9021031181287, 1239.5672957180843, 1050.5983791809153, 807.1745651313323, 807.1745651313323]","[51917.71735384861, 51917.71735384861, 306632.85754907463, 809488.7970194255, 752824.5812280658, 414929.39095271635, 188034.56764750977, 54818.783178004305, 54818.783178004305]"
3493,"[51922.114284675714, 51922.114284675714, 465.7420704133959, 647.9515516513343, 1403.9021059272584, 1239.5672737252112, 1050.5983286533296, 807.1694948511068, 807.1694948511068]","[51922.114284675714, 51922.114284675714, 306648.90445036814, 809522.2459180373, 752855.6887037747, 414946.49705393065, 188042.292350223, 54819.43717801484, 54819.43717801484]"
3494,"[51926.507043859136, 51926.507043859136, 465.7482679944578, 647.957749601367, 1403.902108770134, 1239.5672517871155, 1050.5982782045276, 807.1644299749574, 807.1644299749574]","[51926.507043859136, 51926.507043859136, 306664.9357511743, 809555.6620077774, 752886.765667233, 414963.5863746929, 188050.00947396448, 54820.090570949214, 54820.090570949214]"
3495,"[51930.895629090795, 51930.895629090795, 465.75445930785037, 647.9639412791378, 1403.902111577624, 1239.5672298422155, 1050.5982277819735, 807.1593704749267, 807.1593704749267]","[51930.895629090795, 51930.895629090795, 306680.95142402465, 809589.0452029468, 752917.8120387405, 414980.6588702158, 188057.71899815195, 54820.7433550373, 54820.7433550373]"
3496,"[51935.280038089964, 51935.280038089964, 465.7606443583499, 647.9701266954047, 1403.9021143958173, 1239.5672079315805, 1050.5981774207214, 807.154316371187, 807.154316371187]","[51935.280038089964, 51935.280038089964, 306696.95147520653, 809622.3955371402, 752948.8278495404, 414997.7145583308, 188065.42093108295, 54821.39553084109, 54821.39553084109]"
3497,"[51939.66026860307, 51939.66026860307, 465.766823143516, 647.976305847395, 1403.9021172221542, 1239.5671860529383, 1050.5981271188436, 807.1492676635454, 807.1492676635454]","[51939.66026860307, 51939.66026860307, 306712.93589689594, 809655.7129938776, 752979.8130843062, 415014.7534305803, 188073.11526892995, 54822.04709794375, 54822.04709794375]"
3498,"[51944.0363184036, 51944.0363184036, 465.77299565725684, 647.9824787254745, 1403.9021200293391, 1239.5671641819788, 1050.598076855607, 807.1442243414391, 807.1442243414391]","[51944.0363184036, 51944.0363184036, 306728.9046741398, 809688.9975313126, 753010.7677041208, 415031.77546518896, 188080.8020017208, 54822.69805543223, 54822.69805543223]"
3499,"[51948.40818529206, 51948.40818529206, 465.77916190229564, 647.9886453364629, 1403.902122848937, 1239.5671423468318, 1050.5980266550241, 807.1391864188791, 807.1391864188791]","[51948.40818529206, 51948.40818529206, 306744.85780927923, 809722.2491686452, 753041.6917268401, 415048.78067242325, 188088.48113426182, 54823.34840358741, 54823.34840358741]"
3500,"[51952.77586709576, 51952.77586709576, 465.7853218733795, 647.9948056722296, 1403.9021256587748, 1239.5671205277504, 1050.5979765002558, 807.1341538873829, 807.1341538873829]","[51952.77586709576, 51952.77586709576, 306760.79528905277, 809755.4678697296, 753072.5851188486, 415065.76903349475, 188096.15265795705, 54823.99814160766, 54823.99814160766]"
3501,"[51957.139361669004, 51957.139361669004, 465.7914755705068, 648.0009597344334, 1403.9021284716457, 1239.56709873614, 1050.5979264010434, 807.129126753055, 807.129126753055]","[51957.139361669004, 51957.139361669004, 306776.7171105126, 809788.6536347681, 753103.4478803343, 415082.74054869195, 188103.81657300788, 54824.647269402354, 54824.647269402354]"
3502,"[51961.49866689337, 51961.49866689337, 465.797622991807, 648.007107521204, 1403.902131287551, 1239.5670769720089, 1050.5978763574035, 807.1241050166215, 807.1241050166215]","[51961.49866689337, 51961.49866689337, 306792.62326707307, 809821.8064509477, 753134.2799993814, 415099.6952114683, 188111.47287646256, 54825.295786626426, 54825.295786626426]"
3503,"[51965.85378067835, 51965.85378067835, 465.8037641318892, 648.013249024054, 1403.9021340826325, 1239.5670552141091, 1050.5978263512156, 807.1190886688033, 807.1190886688033]","[51965.85378067835, 51965.85378067835, 306808.51374527713, 809854.9262809952, 753165.0814413256, 415116.6330024356, 188119.1215594458, 54825.94369245609, 54825.94369245609]"
3504,"[51970.20470095991, 51970.20470095991, 465.80989899175444, 648.0193842464183, 1403.9021368756444, 1239.5670334791555, 1050.5977763967508, 807.1140777181058, 807.1140777181058]","[51970.20470095991, 51970.20470095991, 306824.3885442152, 809888.0131318934, 753195.8522126608, 415133.5539254325, 188126.76262379315, 54826.59098693354, 54826.59098693354]"
3505,"[51974.55142570042, 51974.55142570042, 465.8160275719304, 648.025513190815, 1403.9021396819212, 1239.5670117808177, 1050.5977265056827, 807.1090721715746, 807.1090721715746]","[51974.55142570042, 51974.55142570042, 306840.2476620752, 809921.0670072888, 753226.5923167786, 415150.4579825461, 188134.39607053268, 54827.23767003551, 54827.23767003551]"
3506,"[51978.89395288876, 51978.89395288876, 465.82214986726495, 648.031635849107, 1403.9021424784648, 1239.5669900986125, 1050.5976766605418, 807.1040720202013, 807.1040720202013]","[51978.89395288876, 51978.89395288876, 306856.09108593897, 809954.0878713974, 753257.3017203996, 415167.34515516006, 188142.0218911412, 54827.883740967576, 54827.883740967576]"
3507,"[51983.23228053985, 51983.23228053985, 465.8282658773422, 648.0377522219845, 1403.9021452737966, 1239.5669684401385, 1050.5976268678207, 807.0990772681256, 807.0990772681256]","[51983.23228053985, 51983.23228053985, 306871.91881219327, 809987.075721217, 753287.9804207318, 415184.2154418648, 188149.64008503142, 54828.5291995765, 54828.5291995765]"
3508,"[51987.56640669506, 51987.56640669506, 465.8343756000048, 648.0438623068483, 1403.902148064513, 1239.5669468023702, 1050.5975771249464, 807.0940879144721, 807.0940879144721]","[51987.56640669506, 51987.56640669506, 306887.73083383666, 810020.0305416168, 753318.6284037037, 415201.06883488153, 188157.25064867738, 54829.174045471875, 54829.174045471875]"
3509,"[51991.896329421645, 51991.896329421645, 465.84047903402006, 648.0499661027976, 1403.9021508531714, 1239.566925187592, 1050.597527433876, 807.0891039608284, 807.0891039608284]","[51991.896329421645, 51991.896329421645, 306903.5271457024, 810052.9523238228, 753349.2456611552, 415217.90532976465, 188164.8535800892, 54829.81827838758, 54829.81827838758]"
3510,"[51996.22204681297, 51996.22204681297, 465.8465761753991, 648.0560636037453, 1403.9021536236048, 1239.5669035814071, 1050.5974777823333, 807.0841254009262, 807.0841254009262]","[51996.22204681297, 51996.22204681297, 306919.30773724616, 810085.8410398957, 753379.832167103, 415234.7249120066, 188172.44887263543, 54830.46189768273, 54830.46189768273]"
3511,"[52000.543556988276, 52000.543556988276, 465.85266702869177, 648.0621548195433, 1403.9021564166646, 1239.566882020217, 1050.5974282013872, 807.0791522523041, 807.0791522523041]","[52000.543556988276, 52000.543556988276, 306935.07261468365, 810118.6967210546, 753410.3879505808, 415251.5275981511, 188180.0365340057, 54831.10490387372, 54831.10490387372]"
3512,"[52004.86085809267, 52004.86085809267, 465.85875158617364, 648.0682397370555, 1403.9021591906555, 1239.56686046688, 1050.5973786593527, 807.0741844979638, 807.0741844979638]","[52004.86085809267, 52004.86085809267, 306950.8217601954, 810151.5193133497, 753440.9129614152, 415268.3133600302, 188187.61655126562, 54831.74729581069, 54831.74729581069]"
3513,"[52009.17394829696, 52009.17394829696, 465.86482985043483, 648.0743183624066, 1403.9021619728094, 1239.5668389456634, 1050.5973291769449, 807.0692221496931, 807.0692221496931]","[52009.17394829696, 52009.17394829696, 306966.55517620355, 810184.3088343056, 753471.4072159042, 415285.08220699424, 188195.1889287852, 54832.389073742255, 54832.389073742255]"
3514,"[52013.48282579767, 52013.48282579767, 465.87090181877073, 648.0803906917872, 1403.9021647546151, 1239.5668174489906, 1050.5972797477052, 807.0642652043099, 807.0642652043099]","[52013.48282579767, 52013.48282579767, 306982.2728547745, 810217.0652646747, 753501.8706961476, 415301.83412908664, 188202.7536620275, 54833.03023719757, 54833.03023719757]"
3515,"[52017.78748881686, 52017.78748881686, 465.8769674862309, 648.0864567171571, 1403.9021675122672, 1239.566795955658, 1050.5972303535489, 807.0593136522086, 807.0593136522086]","[52017.78748881686, 52017.78748881686, 306997.97478359577, 810249.7885695838, 753532.303369713, 415318.5691081466, 188210.31074267178, 54833.67078539997, 54833.67078539997]"
3516,"[52022.08793560208, 52022.08793560208, 465.88302685766445, 648.092516448774, 1403.9021702874356, 1239.5667745027959, 1050.5971810261653, 807.054367511129, 807.054367511129]","[52022.08793560208, 52022.08793560208, 307013.6609695887, 810282.4787820684, 753562.7052673236, 415335.2871616578, 188217.86017883613, 54834.31071890177, 54834.31071890177]"
