,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,H2_fc,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time,H2_mass
284,22634.3262668197,97.22917048115106,2152.9834129581354,26686.155330536396,87.18577043911064,370.2332209357319,0.0,2,0.2929216154921715,87.45555555555556,0.7909076208171829,0.04505326334187003,12644.123842408055,1.0,0.0,1.0,False,8.01276031320188e-08,28715.82805486832,3146951.321482763,3146951.321482763,1758.1694501301768,0.00999400772668627,0.07240585455223326,0.0,,,,,,climb,8473.427359232031,,2.0,3.4555176342653824
285,22633.801963471116,97.29821337020468,2167.051035949737,26880.10415974961,87.68956331776629,372.2332209357319,0.0,2,0.29317851672487255,87.45555555555556,0.7908893001696353,0.045052415062402484,12643.885774178472,1.0,0.0,1.0,False,8.007160299579446e-08,28687.707856977893,3145889.8024191405,3145889.8024191405,1756.7551417230925,0.009983654255987254,0.07228191499761136,0.0,,,,,,climb,8473.427359232031,,2.0,3.475484942777357
286,22633.27820328395,97.3672592097892,2181.104593317249,27074.192456216588,88.19283470589941,374.2332209357319,0.0,2,0.2934354717767865,87.45555555555556,0.7908709985016895,0.045051567682365165,12643.6479583725,1.0,0.0,1.0,False,8.001590302758601e-08,28659.55983836917,3144821.0236383905,3144821.0236383905,1755.3373742192525,0.009973319887846686,0.07215784148886037,0.0,,,,,,climb,8473.427359232031,,2.0,3.49543158255305
287,22632.75498525604,97.43630758781885,2195.1440251134204,27268.420227194238,88.69558556955987,376.2332209357319,0.0,2,0.29369247909619445,87.45555555555556,0.7908527157783279,0.04505072120007258,12643.410394517092,1.0,0.0,1.0,False,7.996050194458437e-08,28631.384677746297,3143745.0455781543,3143745.0455781543,1753.916188865589,0.009963004663898385,0.07203363708882812,0.0,,,,,,climb,8473.427359232031,,2.0,3.515357591880847
288,22632.232308383052,97.50535809312251,2209.1692718686704,27462.78747906257,89.1978168768362,378.2332209357319,0.0,2,0.29394953713378424,87.45555555555556,0.7908344519644548,0.045049875613835895,12643.173082138306,1.0,0.0,1.0,False,7.990539846371032e-08,28603.183050463336,3142661.9285580735,3142661.9285580735,1752.491626780295,0.009952708624542941,0.07190930484555953,0.0,,,,,,climb,8473.427359232031,,2.0,3.535263009129933
289,22631.710171658528,97.57441031545135,2223.1802745904556,27657.29421732683,89.69952959779408,380.2332209357319,0.0,2,0.29420664434268384,87.45555555555556,0.7908162070249031,0.045049030921963176,12642.936020761277,1.0,0.0,1.0,False,7.985059130168758e-08,28574.955628512693,3141571.7327773436,3141571.7327773436,1751.0637289515644,0.009942431808961216,0.07178484779224177,0.0,,,,,,climb,8473.427359232031,,2.0,3.555147872747855
290,22631.188574073953,97.64346384548736,2237.176974762615,27851.940446619676,90.20072470441544,382.2332209357319,0.0,2,0.29446379917849663,87.45555555555556,0.7907979809244318,0.045048187122759285,12642.699209910283,1.0,0.0,1.0,False,7.979607917511528e-08,28546.70308051357,3140474.5183122815,3140474.5183122815,1749.6325362363284,0.009932174255127714,0.0716602689471492,0.0,,,,,,climb,8473.427359232031,,2.0,3.5750122212581106
291,22630.66751461882,97.71251827485106,2251.159314344697,28046.726170703325,90.70140317053827,384.2332209357319,0.0,2,0.29472100009933455,87.45555555555556,0.790779773627731,0.045047344214526136,12642.462649108751,1.0,0.0,1.0,False,7.974186080053977e-08,28518.42607170121,3139370.345113937,3139370.345113937,1748.1980893590364,0.00992193599982398,0.07153557131359221,0.0,,,,,,climb,8473.427359232031,,2.0,3.5948560932577585
292,22630.146992280697,97.78157319610955,2265.127235771267,28241.65139247176,91.20156597179711,386.2332209357319,0.0,2,0.29497824556585206,87.45555555555556,0.7907615850994232,0.045046502195562714,12642.226337879301,1.0,0.0,1.0,False,7.96879348945257e-08,28490.125263916198,3138259.2730057263,3138259.2730057263,1746.7604289104345,0.009911717078651853,0.07141075787986588,0.0,,,,,,climb,8473.427359232031,,2.0,3.614679527415062
293,22629.62700604528,97.85062820278415,2279.0806819511927,28436.716113952934,91.70121408556416,388.2332209357319,0.0,2,0.2952355340412792,87.45555555555556,0.7907434153040661,0.04504566106416526,12641.990275743769,1.0,0.0,1.0,False,7.963430017372655e-08,28461.80131559428,3137141.3616811004,3137141.3616811004,1745.3195953463874,0.009901517526046741,0.07128583161920149,0.0,,,,,,climb,8473.427359232031,,2.0,3.6344825624671557
