Altitude,FR,F_prop,Mach,Ratio,eta
20689.65517,558.1659984,7393.413428,0.4,0.075495034,0.9
21551.72414,556.3760986,7281.663201,0.4,0.076407832,0.9
22413.7931,554.8260443,7173.450926,0.4,0.07734437,0.9
23275.86207,553.1434305,7065.548988,0.4,0.078287396,0.9
24137.93103,551.3512809,6958.119216,0.4,0.079238551,0.9
25000,549.4912035,6854.41046,0.4,0.080166078,0.9
0,801.0098035,14563.4069,0.2,0.05500154,0.8
862.0689655,805.3729599,14564.61151,0.2,0.055296563,0.8
1724.137931,809.8405301,14564.78486,0.2,0.055602643,0.8
2586.206897,814.4157531,14563.88417,0.2,0.05592023,0.8
3448.275862,814.3510086,14489.86981,0.2,0.056201403,0.8
4310.344828,807.1348333,14306.74963,0.2,0.056416367,0.8
5172.413793,800.0405522,14123.63264,0.2,0.056645523,0.8
6034.482759,792.8347165,13940.87421,0.2,0.056871234,0.8
6896.551724,785.6311593,13758.35113,0.2,0.05710213,0.8
7758.62069,778.4312704,13576.09715,0.2,0.057338369,0.8
8620.689655,771.2364565,13394.14614,0.2,0.057580114,0.8
9482.758621,764.0481495,13212.5321,0.2,0.057827534,0.8
10344.82759,756.8678147,13031.28929,0.2,0.058080808,0.8
11206.89655,749.3114349,12844.96872,0.2,0.058335014,0.8
12068.96552,742.1067858,12663.98168,0.2,0.058599799,0.8
12931.03448,734.9087437,12483.39639,0.2,0.058870897,0.8
13793.10345,727.7180801,12303.23818,0.2,0.0591485,0.8
14655.17241,720.5355045,12123.53145,0.2,0.059432807,0.8
15517.24138,713.361654,11944.29948,0.2,0.059724026,0.8
16379.31034,706.1970825,11765.56431,0.2,0.060022372,0.8
17241.37931,699.0422445,11587.34646,0.2,0.06032807,0.8
18103.44828,691.8974777,11409.66476,0.2,0.06064135,0.8
18965.51724,684.9792689,11237.57088,0.2,0.060954389,0.8
19827.58621,677.8946801,11061.79449,0.2,0.061282523,0.8
20689.65517,670.8284433,10886.73805,0.2,0.061618865,0.8
21551.72414,663.7820348,10712.43837,0.2,0.061963674,0.8
22413.7931,656.7571052,10538.93463,0.2,0.06231722,0.8
23275.86207,649.7555383,10366.26913,0.2,0.062679787,0.8
24137.93103,642.3857983,10189.55995,0.2,0.063043527,0.8
25000,635.3493439,10017.66435,0.2,0.063422902,0.8
0,572.3651033,10385.73534,0.3,0.055110696,0.8
862.0689655,581.5605653,10404.35673,0.3,0.055895869,0.8
1724.137931,590.766334,10422.69104,0.3,0.056680787,0.8
2586.206897,599.9875807,10440.70973,0.3,0.057466168,0.8
3448.275862,609.2294879,10458.3829,0.3,0.058252743,0.8
4310.344828,618.6634968,10475.57329,0.3,0.059057722,0.8
