,TP_total_temperature,TP_total_pressure
4532,"[64820.47858271489, 64820.47858271489, 357.2869381229402, 434.93957294801925, 598.3041981189184, 523.3295287587323, 441.44356019829837, 439.3489408013814, 439.3489408013814]","[64820.47858271489, 64820.47858271489, 152380.6725794433, 271669.28029202414, 252652.43067158246, 133131.20217154996, 58973.09635180442, 57675.88573676446, 57675.88573676446]"
4533,"[64972.56265071556, 64972.56265071556, 357.45358811051346, 435.15506764158573, 598.6805406952841, 523.6632044094871, 441.7261301964831, 439.6348808159, 439.6348808159]","[64972.56265071556, 64972.56265071556, 152762.77418606504, 272373.73576359823, 253307.57426014636, 133481.90032061373, 59129.152794540554, 57831.407284821325, 57831.407284821325]"
4534,"[65124.817277535505, 65124.817277535505, 357.6200838966122, 435.3703283693787, 599.0562686973329, 523.9963353750646, 442.0082392429505, 439.9203498105953, 439.9203498105953]","[65124.817277535505, 65124.817277535505, 153145.284050588, 273078.9297691792, 253963.40468533666, 133832.973344877, 59285.377164173246, 57987.09722965346, 57987.09722965346]"
4535,"[65277.242347050465, 65277.242347050465, 357.7864257776273, 435.58535573215323, 599.4313844701551, 524.3289237335852, 442.28988909591294, 440.2053495958852, 440.2053495958852]","[65277.242347050465, 65277.242347050465, 153528.20192378346, 273784.8618631137, 254619.92153269576, 134184.42102857184, 59441.76936556238, 58142.95548137999, 58142.95548137999]"
4536,"[65429.83774354163, 65429.83774354163, 357.9526140578946, 435.8001503442838, 599.805890402561, 524.6609716019717, 442.57108154649313, 440.48988200382416, 440.48988200382416]","[65429.83774354163, 65429.83774354163, 153911.5275679947, 274491.531630605, 255277.12441646267, 134536.24317189143, 59598.32931076758, 58298.98195050188, 58298.98195050188]"
4537,"[65582.60335169297, 65582.60335169297, 358.11864902497473, 436.0147127875439, 600.1797887614258, 524.9924809889867, 442.8518182941592, 440.7739487952357, 440.7739487952357]","[65582.60335169297, 65582.60335169297, 154295.26072555993, 275198.9386015627, 255935.01289945332, 134888.439546238, 59755.05689884016, 58455.17654736008, 58455.17654736008]"
4538,"[65735.53905658853, 65735.53905658853, 358.28453097832335, 436.229043664744, 600.5530818840606, 525.3234539658954, 443.1321010913771, 441.0575517676041, 441.0575517676041]","[65735.53905658853, 65735.53905658853, 154679.40115542547, 275907.0823505021, 256593.58658596696, 135241.00994611735, 59911.95203925663, 58611.53918276265, 58611.53918276265]"
4539,"[65888.6447437098, 65888.6447437098, 358.45026021765517, 436.443143577981, 600.9257721002849, 525.6538925973327, 443.4119316850134, 441.34069271139737, 441.34069271139737]","[65888.6447437098, 65888.6447437098, 155063.94861832995, 276615.9624561275, 257252.8450841986, 135593.95416814522, 60069.0146424384, 58768.06976772982, 58768.06976772982]"
4540,"[66041.92029893327, 66041.92029893327, 358.61583702913276, 436.6570131028226, 601.2978616399291, 525.9837988592418, 443.6913117467815, 441.62337335822497, 441.62337335822497]","[66041.92029893327, 66041.92029893327, 155448.90285900497, 277325.5784527621, 257912.78796106877, 135947.27198581595, 60226.24460835912, 58924.768213188574, 58924.768213188574]"
4541,"[66195.36560852746, 66195.36560852746, 358.78126171704884, 436.87065284757597, 601.6693528453886, 526.3131748274444, 443.97024303307126, 441.9055955000388, 441.9055955000388]","[66195.36560852746, 66195.36560852746, 155834.26364694248, 278035.9299416038, 258573.41484569156, 136300.963207298, 60383.641852642344, 59081.63443067074, 59081.63443067074]"
4542,"[66348.98055915079, 66348.98055915079, 358.9465345668652, 437.08406338417274, 602.0402479238797, 526.6420224578512, 444.248727198657, 442.1873608502436, 442.1873608502436]","[66348.98055915079, 66348.98055915079, 156220.0307287822, 278747.0164607924, 259234.72530853693, 136655.02760793743, 60541.20627608283, 59238.668331495996, 59238.668331495996]"
4543,"[66502.76503784882, 66502.76503784882, 359.1116558773665, 437.2972453083211, 602.4105491631611, 526.9703437778419, 444.5267659589102, 442.46867116467104, 442.46867116467104]","[66502.76503784882, 66502.76503784882, 156606.2038697877, 279458.8375986093, 259896.71896670663, 137009.4649890625, 60698.93779120085, 59395.869827482675, 59395.869827482675]"
4544,"[66656.71893205155, 66656.71893205155, 359.2766259375984, 437.510199196385, 602.780258776986, 527.2981407491558, 444.8043609735855, 442.74952815494726, 442.74952815494726]","[66656.71893205155, 66656.71893205155, 156992.78282404566, 280171.39291214565, 260559.39540829547, 137364.27513573493, 60856.836303163764, 59553.238830435715, 59553.238830435715]"
4545,"[66810.84212957136, 66810.84212957136, 359.4414450380863, 437.72292562638046, 603.1493789804366, 527.6254153347257, 445.0815139034692, 443.0299335307521, 443.0299335307521]","[66810.84212957136, 66810.84212957136, 157379.76734895946, 280884.6819668642, 261222.75422918375, 137719.45783730102, 61014.90171906652, 59710.77525239501, 59710.77525239501]"
4546,"[66965.13451860026, 66965.13451860026, 359.60611347587974, 437.93542518742413, 603.5179120238523, 527.9521695287782, 445.35822643589194, 443.3098890188589, 443.3098890188589]","[66965.13451860026, 66965.13451860026, 157767.15721185855, 281598.70435464825, 261886.7950498229, 138075.01289676866, 61173.1339521664, 59868.47900574798, 59868.47900574798]"
4547,"[67119.59598770735, 67119.59598770735, 359.77063153744643, 438.1476984477511, 603.8858600782178, 528.2784052551527, 445.6345001985435, 443.5893962988987, 443.5893962988987]","[67119.59598770735, 67119.59598770735, 158154.95216771757, 282313.45963298256, 262551.5174586738, 138430.94009921324, 61331.53290761523, 60026.35000284666, 60026.35000284666]"
4548,"[67274.22642583678, 67274.22642583678, 359.93499951166626, 438.35974597903123, 604.2532253223969, 528.6041244446935, 445.91033682507015, 443.868457052287, 443.868457052287]","[67274.22642583678, 67274.22642583678, 158543.15197605282, 283028.94737107906, 263216.92105510354, 138787.2392357399, 61490.09849328065, 60184.38815629726, 60184.38815629726]"
4549,"[67429.02572230488, 67429.02572230488, 360.0992176935595, 438.57156836335554, 604.6200099682328, 528.9293290575168, 446.18573797394913, 444.1470729763126, 444.1470729763126]","[67429.02572230488, 67429.02572230488, 158931.7564058548, 283745.1671633537, 263883.00546191895, 139143.9101104844, 61648.8306229081, 60342.59337904367, 60342.59337904367]"
4550,"[67583.99376679816, 67583.99376679816, 360.26328636737856, 438.7831661616232, 604.9862161472585, 529.2540209825044, 446.4607052432975, 444.42524572064735, 444.42524572064735]","[67583.99376679816, 67583.99376679816, 159320.76521342955, 284462.11856892786, 264549.77026910294, 139500.95250918597, 61807.72920192805, 60500.96558398743, 60500.96558398743]"
4551,"[67739.13044937074, 67739.13044937074, 360.42720582473606, 438.9945399474608, 605.3518460323556, 529.578202145235, 446.7352402623562, 444.70297695556616, 444.70297695556616]","[67739.13044937074, 67739.13044937074, 159710.1781661612, 285179.80117651355, 265217.2150941576, 139858.3662328944, 61966.7941426781, 60659.504684394036, 60659.504684394036]"
4552,"[67894.43566044215, 67894.43566044215, 360.59097635118616, 439.20569028213623, 605.7169017478656, 529.9018744282375, 447.0093446238953, 444.9802683215754, 444.9802683215754]","[67894.43566044215, 67894.43566044215, 160099.99502489017, 285898.2145563012, 265885.3395373601, 140216.1510729768, 62126.02535311625, 60818.21059359061, 60818.21059359061]"
4553,"[68049.90929079488, 68049.90929079488, 360.7545982356446, 439.4166177321897, 606.0813854328504, 530.2250397271146, 447.28301993178513, 445.2571214648943, 445.2571214648943]","[68049.90929079488, 68049.90929079488, 160490.21555630714, 286617.35829380597, 266554.14321323956, 140574.30682870102, 62285.42274476178, 60977.083225177594, 60977.083225177594]"
4554,"[68205.55123157219, 68205.55123157219, 360.9180717625359, 439.62732285475795, 606.4452991885278, 530.5476999039076, 447.5562677614676, 445.53353800800727, 445.53353800800727]","[68205.55123157219, 68205.55123157219, 160880.83952258973, 287337.23196157144, 267223.62572426145, 140932.83329253664, 62444.986226056615, 61136.122492850576, 61136.122492850576]"
4555,"[68361.36137427585, 68361.36137427585, 361.08139721900767, 439.83780621108, 606.8086451267362, 530.8698568300939, 447.82908969640084, 445.8095195768502, 445.8095195768502]","[68361.36137427585, 68361.36137427585, 161271.86669093528, 288057.8351452071, 267893.78668504267, 141291.73026368005, 62604.715708473974, 61295.32831056322, 61295.32831056322]"
4556,"[68517.33961076381, 68517.33961076381, 361.24457489291854, 440.0480683627446, 607.1714253565345, 531.1915123746987, 448.1014873179835, 446.08506779331555, 446.08506779331555]","[68517.33961076381, 68517.33961076381, 161663.2968309239, 288779.16743619164, 268564.62571565824, 141650.99754431922, 62764.611104831536, 61454.700592481066, 61454.700592481066]"
