,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,name,ceiling,max_mach,delta_time,BAT_energy
2887,22926.979050283528,132.86827402345907,675.0261645395597,366243.6335729269,626.6317765172354,2663.4633719501735,0.0,3,0.3934570484817633,128.60000000217985,0.3705082572761967,0.03100421883792404,18814.40169167076,0.3008806564694111,0.0,0.2952330882857343,True,1.5901677793997712e-07,7041.971278076715,1063680.211435642,3607066.6165408045,1063680.211435642,0.2644096843403503,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2888,22926.640764283566,132.77824679736756,661.1185881888252,366509.0059382703,626.9702945688126,2665.4633719501735,0.0,3,0.3931278396374919,128.60000000217985,0.3705027904523281,0.03100410650061074,18814.333521614662,0.3006863099351259,0.0,0.2950375010782389,True,1.5923134576026327e-07,7042.076809422172,1062975.5402775723,3606063.0705912705,1062975.5402775723,0.2642345171458628,0.0,0.0,0.0,0.0,0.0,0.0,-0.052359877559829904,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2889,22926.30224623199,132.68837011674955,647.2204351600216,366774.1984959199,627.3090448862021,2667.4633719501735,0.0,3,0.3927992336157887,128.60000000217985,0.37049731987842155,0.03100399408806949,18814.26530590772,0.30049229279092504,0.0,0.2948422454543669,True,1.5944611975805433e-07,7042.182414269486,1062272.0637652,3605048.997221376,1062272.0637652,0.2640596469164674,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2890,22925.9634959146,132.59864358038675,633.331689695266,367039.21154655394,627.6480276830223,2669.4633719501735,0.0,3,0.39247122871443585,128.60000000217985,0.3704918455510157,0.031003881600232916,18814.197044509045,0.3002986041632453,0.0,0.2946473205343422,True,1.5966109982246818e-07,7042.288092687753,1061569.7787288248,3604024.397945426,1061569.7787288248,0.26388507286423946,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2891,22925.62451311778,132.50906678852755,619.4523360786724,367304.04539004946,627.9872431723159,2671.4633719501735,0.0,3,0.39214382323770763,128.60000000217985,0.37048636746665853,0.03100376903703387,18814.128737377883,0.30010524318171256,0.0,0.2944527254416011,True,1.5987628584284397e-07,7042.393844745908,1060868.68201032,3602989.274300194,1060868.68201032,0.2637107942041319,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2892,22925.285297628485,132.4196393428807,605.582358636197,367568.700325485,628.32664184381,2673.4633719501735,0.0,3,0.3918170154963414,128.60000000217985,0.37048088562190673,0.031003656398405386,18814.060384473614,0.2999857270679351,0.0,0.29433241605100696,True,1.6006822731906376e-07,7042.499670512722,1060168.7704630785,3601943.627844764,1060168.7704630785,0.2635961287779636,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2893,22924.94589895699,132.33036084660802,591.7217417354861,367833.1766511437,628.6662155620014,2675.4633719501735,0.0,3,0.3914908038075046,128.60000000217985,0.3704754008168645,0.031003543700791034,18813.991995774737,0.29987873117859076,0.0,0.29422470163907016,True,1.602564045320637e-07,7042.605554544407,1059470.0386015489,3600887.4601603528,1059470.0386015489,0.2634915921171535,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2894,22924.606325238798,132.24123090431803,577.870469785724,368097.474664516,629.0059638949025,2677.4633719501735,0.0,3,0.391165186494765,128.60000000217985,0.3704699131830045,0.031003430946895148,18813.923572922333,0.2997728516052324,0.0,0.2941181102397131,True,1.6044444787915975e-07,7042.711494304667,1058772.4829123504,3599820.7728501526,1058772.4829123504,0.2633879823855068,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2895,22924.266576905895,132.15224912205915,564.0285272374812,368361.5946623027,629.345886409089,2679.4633719501735,0.0,3,0.3908401618880602,128.60000000217985,0.37046442272730773,0.031003318136863998,18813.855116005157,0.29966808741524587,0.0,0.2940126409122534,True,1.606323562660339e-07,7042.817489660443,1058076.100258174,3598743.5675391643,1058076.100258174,0.26328529862035355,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2896,22923.926654391707,132.0634151073129,550.1958985825638,368625.5369404178,629.6859826697007,2681.4633719501735,0.0,3,0.3905157283236661,128.60000000217985,0.3704589294567786,0.031003205270844353,18813.786625112283,0.29956443769600377,0.0,0.2939082927361429,True,1.6082012859703972e-07,7042.923540478256,1057380.8875130415,3597655.845874035,1057380.8875130415,0.2631835398741103,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
