,Unnamed: 0,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach,EI_NOx,NOx_delta,NOx
2905,2905,21914.782004086268,108.63040426844236,4284.905929660905,61319.331686305595,,652.1421588687684,2,0.3358685150409862,87.49999999999999,1.0,False,8.436003850716872e-08,23553.273341083353,2831682.4431493008,0.9998889060375172,2831997.060924538,0.2982954211756064,1605.2761273044728,5.3850185047929715,0.2425392113048005,0.7649869792913319,0.04387374901529942,12325.613175305089,0.052243399467609336,0.0,climb,2.0,173.63017203170463,,0.0029875408745469695,0.0014273325469584877,0.5807031209271045
2906,2906,21914.304242406382,108.69592221492678,4296.251210309392,61536.29606940362,,654.1421588687684,2,0.3361187022560809,87.49999999999999,1.0,False,8.433901614804085e-08,23526.89839165485,2829957.9634946287,0.9998884750492208,2830273.6096196338,0.29838231858833925,1604.2745996883334,5.380001671505946,0.24255994044129506,0.7649703018968567,0.043873003412070975,12325.403710256345,0.0521227852358858,0.0,climb,2.0,174.10752377246754,,0.002985471026001002,0.0014251197912588179,0.5821282407183633
2907,2907,21913.826890665616,108.76138641543751,4307.577148746584,61753.3926772609,,656.1421588687684,2,0.33636871962966736,87.49999999999999,1.0,False,8.431804057789508e-08,23500.58904388492,2828236.8375392933,0.9998880404681726,2828553.5210672608,0.2984690886737024,1603.2754455147995,5.3749973147119725,0.2425806276248923,0.7649536388122704,0.04387225846566113,12325.194429730058,0.052002469177732005,0.0,climb,2.0,174.58446654933059,,0.002983406136211276,0.0014229140071148412,0.5835511547254781
2908,2908,21913.349947888753,108.82679679969952,4318.8837724256155,61970.621397647985,,658.1421588687684,2,0.3366185667898887,87.49999999999999,1.0,False,8.429711169962168e-08,23474.34512059233,2826519.0591632263,0.9998876023514074,2826836.788971262,0.2985557315062506,1602.2786583854308,5.370005400272579,0.2426012729374136,0.7649369900035302,0.043871514174504064,12324.985333286335,0.051882450499246606,0.0,climb,2.0,175.0610013350334,,0.0029813461923254205,0.0014207151688657264,0.5849718698943439
2909,2909,21912.87341310305,108.89215329777906,4330.171108776788,62187.98211821367,,660.1421588687684,2,0.33686824336620913,87.49999999999999,1.0,False,8.427622942168157e-08,23448.166445073643,2824804.6214812268,0.9998871604827281,2825123.407042712,0.29864224713970444,1601.2842313284684,5.36502589360321,0.2426218764602083,0.7649203554366806,0.043870770537038035,12324.77642048644,0.051762728408616766,0.0,climb,2.0,175.53712909973618,,0.002979291180637685,0.0014185232502356882,0.5863903931445796
2910,2910,21912.39728533835,108.95745584008344,4341.439185207492,62405.47472648544,,662.1421588687684,2,0.3371177489894143,87.49999999999999,1.0,False,8.425539364683294e-08,23422.052841102577,2823093.518482408,0.9998867149525162,2823413.3689999813,0.2987286356511368,1600.2921580483785,5.360058760840486,0.24264243827415846,0.7649037350778556,0.04387002755170552,12324.567690892796,0.05164330211611522,0.0,climb,2.0,176.0128508111393,,0.0029772410884810908,0.0014163382258718846,0.5878067313704515
2911,2911,21911.921563626947,109.02270435736071,4352.688029102159,62623.09910987022,,664.1421588687684,2,0.3373670832916112,87.49999999999999,1.0,False,8.423460428067893e-08,23396.004132928734,2821385.7437870493,0.999886265718098,2821706.668568737,0.2988148971074672,1599.3024319783112,5.355103967956512,0.2426629584596782,0.7648871288932759,0.043869285216952984,12324.35914406897,0.05152417083409542,0.0,climb,2.0,176.48816743444138,,0.0029751959027924115,0.0014141600701775081,0.589220891440629
2912,2912,21911.446247003645,109.08789878069945,4363.917667822199,62840.85515565492,,666.1421588687684,2,0.33761624590622863,87.49999999999999,1.0,False,8.42138612285678e-08,23370.02014527646,2819681.291097412,0.9998858127631962,2820003.2994819568,0.2989010315776112,1598.315046623646,5.350161481079604,0.2426834370967152,0.7648705368492483,0.04386854353123093,12324.150779579662,0.051405333776986695,0.0,climb,2.0,176.96307993235592,,0.002973155610632428,0.0014119887577340906,0.590632880198363
2913,2913,21910.97133450573,109.15303904152859,4375.128128705952,63058.74275100704,,668.1421588687684,2,0.33786523646801725,87.49999999999999,1.0,False,8.419316439657711e-08,23344.100703343844,2817980.154054269,0.9998853560470972,2818303.255479956,0.2989870391286108,1597.329995452526,5.345231266391757,0.2427038742647523,0.7648539589121676,0.04386780249299402,12323.942596990724,0.051286790161290265,0.0,climb,2.0,177.4375892651091,,0.0029711201990200945,0.0014098242631664965,0.5920427044615295
2914,2914,21910.496825172977,109.21812507161712,4386.3194390686185,63276.761782975285,,670.1421588687684,2,0.3381140546130495,87.49999999999999,1.0,False,8.417251369015273e-08,23318.245632801485,2816282.3264351673,0.9998848955749622,2816606.530310397,0.2990729198309851,1596.3472720470975,5.34031329026951,0.24272427004280814,0.7648373950485141,0.04386706210070087,12323.73459586914,0.05116853920557402,0.0,climb,2.0,177.91169639046348,,0.0029690896551613855,0.00140766656132799,0.5934503710228575
